,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
4590,Kia, Sportage,"£14,997",2018,Manual,44.8 mpg,Tax: £180,"Mileage: 5,199",Petrol,black,2 ISG
4591,Kia, Xceed,"£16,970",2020,Automatic,40.9 mpg,Tax: £180,"Mileage: 24,500",Petrol,black,1.4 3 ISG 5d 139 BHP
4592,Kia, Picanto,"£9,399",2021,Manual,58.9 mpg,Tax: £180,"Mileage: 6,993",Petrol,black,1.0 1 5dr [4 seats]
4593,Kia, Sportage,"£18,499",2020,Manual,34.9 mpg,Tax: £180,"Mileage: 12,181",Petrol,black,e 1.6T GDi ISG GT-Line 5dr
4594,Kia, Sorento,"£34,999",2021,Automatic,38.2 mpg,Tax: £170,"Mileage: 18,307",Hybrid,black,1.6 T-GDi HEV 4 5dr Auto
4595,Kia, Sportage,"£15,499",2020,Manual,36.2 mpg,Tax: £180,"Mileage: 19,673",Petrol,black,e 1.6 GDi ISG 2 5dr
4596,Kia, Sportage,"£16,799",2021,Manual,38.7 mpg,Tax: £180,"Mileage: 19,659",Petrol,black,e 1.6 GDi ISG 2 5dr
4597,Kia, Pro Ceed,"£14,495",2019,Manual,45.6 mpg,Tax: £180,"Mileage: 45,124",Petrol,black,1.4T GDi ISG GT-Line 5dr
4598,Kia, Rio,"£14,050",2021,Manual,52.3 mpg,Tax: £180,"Mileage: 14,633",Petrol,black,1.0 T GDi 2 5dr
4683,Kia, Ceed,"£8,470",2017,Manual,78.5 mpg,Tax: £180,"Mileage: 37,538",Diesel,black,1.6 CRDI 1 ISG 5d 134 BHP
4684,Kia, Carens,"£12,940",2017,Automatic,58.9 mpg,Tax: £150,"Mileage: 48,319",Diesel,black,1.7 CRDI 3 ISG 5d AUTO 139 BHP
4685,Kia, Sportage,"£13,990",2017,Automatic,37.7 mpg,Tax: £180,"Mileage: 66,333",Petrol,black,1.6 GT-LINE 5d AUTO 174 BHP
4686,Kia, Ceed,"£13,750",2018,Manual,38.2 mpg,Tax: £180,"Mileage: 25,671",Petrol,black,1.6T GDi GT 5dr
4687,Kia, Sportage,"£13,837",2018,Manual,34.9 mpg,Tax: £180,"Mileage: 33,264",Petrol,black,e 1.6 GDi ISG 2 5dr
4688,Kia, Ceed,"£13,499",2019,Manual,46.3 mpg,Tax: £180,"Mileage: 35,537",Petrol,black,1.4 3 ISG 5d 139 BHP
4689,Kia, Sportage,"£28,495",2022,Manual,41.5 mpg,Tax: £180,"Mileage: 5,000",Petrol,black,e 1.6T GDi ISG 3 5dr
4690,Kia, Ceed,"£22,895",2020,Semi-Auto,44.1 mpg,Tax: £180,"Mileage: 7,000",Petrol,black,1.4T GDi ISG GT-Line S 5dr DCT
4769,Kia, Stonic,"£13,395",2019,Manual,47.1 mpg,Tax: £180,"Mileage: 23,500",Petrol,black,1.0T GDi 3 5dr
4770,Kia, Pro Ceed,"£14,995",2019,Manual,45.6 mpg,Tax: £150,"Mileage: 33,000",Petrol,black,1.4T GDi ISG GT-Line 5dr
4771,Kia, Sorento,"£26,995",2018,Automatic,43.5 mpg,Tax: n/a,"Mileage: 40,000",Diesel,black,2.2 CRDi GT-Line S 5dr Auto
4772,Kia, Xceed,"£13,599",2021,Manual,47.1 mpg,Tax: £180,"Mileage: 20,134",Petrol,black,1.0 2 ISG 5d 119 BHP
4773,Kia, Rio,"£9,499",2017,Manual,60.1 mpg,Tax: £180,"Mileage: 54,000",Petrol,black,1.0 FIRST EDITION 5d 118 BHP
4774,Kia, Rio,"£6,999",2019,Manual,46.3 mpg,Tax: £180,"Mileage: 68,109",Petrol,black,1.2 1 ISG 5d 83 BHP
4775,Kia, Ceed,"£10,299",2018,Manual,57.6 mpg,Tax: £180,"Mileage: 51,857",Petrol,black,1.0T GDi ISG GT-Line 5dr
4776,Kia, Stonic,"£12,999",2019,Manual,45.6 mpg,Tax: £180,"Mileage: 10,700",Petrol,black,1.4 MPi 2 5dr
4777,Kia, Sorento,"£34,999",2020,Automatic,42.2 mpg,Tax: £180,"Mileage: 23,975",Diesel,black,2.2 CRDi 3 5dr DCT
4860,Kia, Picanto,"£11,490",2020,Manual,49.6 mpg,Tax: £180,"Mileage: 5,768",Petrol,black,1.25 3 5dr
4861,Kia, Stonic,"£18,499",2023,Manual,50.4 mpg,Tax: £170,"Mileage: 2,400",Hybrid,black,1.0T GDi 48V GT-Line 5dr
