brand,price,mileage,transmission,year,fuel,performance,emission
brand,price,mileage,transmission,year,fuel,performance,emission
BMW,32850,Benzin,103 kW (140 PS),"130 g/km (komb.) | 5,7 l/100 km (komb.)",99.987 km,Automatik,05/2020
BMW,24780,Diesel,195 kW (265 PS),"0 g/km (komb.) | 4,7 l/100 km (komb.)",70.756 km,Automatik,12/2020
BMW,33850,Diesel,140 kW (190 PS),"124 g/km (komb.) | 4,7 l/100 km (komb.)",69.271 km,Automatik,12/2020
BMW,31980,Diesel,140 kW (190 PS),108 g/km (komb.) | 4 l/100 km (komb.),25.840 km,Automatik,08/2021
BMW,25850,Elektro/Benzin,162 kW (220 PS),0 g/km (komb.),123.824 km,Automatik,11/2020
brand,price,mileage,transmission,year,fuel,performance,emission
BMW,25850,123.824 km,Automatik,11/2020,Diesel,140 kW (190 PS),"117 g/km (komb.) | 4,5 l/100 km (komb.)"
BMW,42980,56.553 km,Automatik,07/2020,- Kraftstoff,140 kW (190 PS),- (g/km)
Peugeot,16250,11.000 km,Schaltgetriebe,08/2022,Benzin,55 kW (75 PS),"94 g/km (komb.) | 4,1 l/100 km (komb.)"
Nissan,40490,10 km,Automatik,06/2023,Benzin,116 kW (158 PS),"131 g/km (komb.) | 5,8 l/100 km (komb.)"
Mercedes-Benz,51753,19.230 km,Automatik,03/2023,Benzin,150 kW (204 PS),"- (g/km) | 6,5 l/100 km (komb.)"
Porsche,148738,13.150 km,Automatik,05/2023,Benzin,338 kW (460 PS),"- (g/km) | 13,2 l/100 km (komb.)"
SEAT,15490,156.000 km,Schaltgetriebe,06/2013,Diesel,103 kW (140 PS),"146 g/km (komb.) | 5,5 l/100 km (komb.)"
Dacia,17639,10 km,Schaltgetriebe,- (Erstzulassung),Autogas (LPG),74 kW (101 PS),"113 g/km (komb.) | 4,9 l/100 km (komb.)"
Renault,24790,1.001 km,Schaltgetriebe,12/2023,Benzin,67 kW (91 PS),"120 g/km (komb.) | 5,3 l/100 km (komb.)"
Mercedes-Benz,21200,67.000 km,Automatik,10/2016,Benzin,155 kW (211 PS),"154 g/km (komb.) | 6,6 l/100 km (komb.)"
Opel,2000,177.932 km,Schaltgetriebe,05/2012,Benzin,51 kW (69 PS),"126 g/km (komb.) | 5,3 l/100 km (komb.)"
BMW,26810,18.199 km,Automatik,11/2021,Benzin,103 kW (140 PS),"121 g/km (komb.) | 5,3 l/100 km (komb.)"
Volkswagen,24450,7 km,Automatik,11/2023,Benzin,81 kW (110 PS),"142 g/km (komb.) | 6,2 l/100 km (komb.)"
Dacia,14990,45.800 km,Schaltgetriebe,11/2018,Benzin,84 kW (114 PS),"149 g/km (komb.) | 6,5 l/100 km (komb.)"
Porsche,169990,- km,Automatik,- (Erstzulassung),Benzin,349 kW (475 PS),"290 g/km (komb.) | 12,8 l/100 km (komb.)"
Volkswagen,22990,80.000 km,Automatik,12/2010,Diesel,103 kW (140 PS),"204 g/km (komb.) | 7,7 l/100 km (komb.)"
brand,price,mileage,transmission,year,fuel,performance,emission
Peugeot,1499,214.000 km,Schaltgetriebe,05/2005,Benzin,100 kW (136 PS),"194 g/km (komb.) | 8,2 l/100 km (komb.)"
MINI,3990,184.000 km,Schaltgetriebe,03/2007,Benzin,88 kW (120 PS),"139 g/km (komb.) | 5,8 l/100 km (komb.)"
SEAT,3450,245.000 km,Schaltgetriebe,08/2007,Diesel,103 kW (140 PS),"178 g/km (komb.) | 6,7 l/100 km (komb.)"
Mercedes-Benz,9990,389.000 km,Automatik,11/2015,Diesel,100 kW (136 PS),"122 g/km (komb.) | 4,6 l/100 km (komb.)"
Volkswagen,3990,395.000 km,Schaltgetriebe,12/2010,Diesel,103 kW (140 PS),"119 g/km (komb.) | 4,6 l/100 km (komb.)"
Opel,21718,12 km,Schaltgetriebe,12/2023,Diesel,81 kW (110 PS),"128 g/km (komb.) | 4,9 l/100 km (komb.)"
Audi,13950,151.000 km,Automatik,05/2013,Diesel,130 kW (177 PS),"140 g/km (komb.) | 5,3 l/100 km (komb.)"
Mazda,18980,44.500 km,Schaltgetriebe,11/2019,Benzin,89 kW (121 PS),"141 g/km (komb.) | 6,2 l/100 km (komb.)"
Mazda,7990,196.000 km,Schaltgetriebe,12/2016,Benzin,66 kW (90 PS),"105 g/km (komb.) | 4,5 l/100 km (komb.)"
Audi,53790,0 km,Automatik,- (Erstzulassung),Benzin,140 kW (190 PS),"190 g/km (komb.) | 8,3 l/100 km (komb.)"
Mazda,24890,57.400 km,Automatik,03/2019,Diesel,110 kW (150 PS),"143 g/km (komb.) | 5,5 l/100 km (komb.)"
Volkswagen,36990,39.800 km,Automatik,05/2019,Diesel,176 kW (239 PS),"167 g/km (komb.) | 6,4 l/100 km (komb.)"
Volkswagen,23230,106.390 km,Automatik,02/2017,Diesel,110 kW (150 PS),"147 g/km (komb.) | 5,6 l/100 km (komb.)"
Toyota,17777,36.905 km,Schaltgetriebe,11/2018,Benzin,85 kW (116 PS),136 g/km (komb.) | 6 l/100 km (komb.)
Hyundai,18888,76.280 km,Automatik,03/2019,Elektro/Benzin,77 kW (105 PS),"97 g/km (komb.) | 4,2 l/100 km (komb.)"
Dacia,15333,41.648 km,Schaltgetriebe,02/2019,Benzin,84 kW (114 PS),"0 g/km (komb.) | 6,5 l/100 km (komb.)"
Renault,14444,35.161 km,Automatik,12/2019,Elektro,51 kW (69 PS),240 km Reichweite
brand,price,mileage,transmission,year,fuel,performance,emission
Renault,14444,52.717 km,Schaltgetriebe,06/2021,Benzin,66 kW (90 PS),"117 g/km (komb.) | 5,1 l/100 km (komb.)"
Renault,17777,61.710 km,Automatik,11/2018,Benzin,96 kW (131 PS),"134 g/km (komb.) | 5,9 l/100 km (komb.)"
Renault,28888,50 km,Automatik,10/2023,Benzin,96 kW (131 PS),"148 g/km (komb.) | 6,5 l/100 km (komb.)"
Renault,19888,26.228 km,Schaltgetriebe,09/2021,Benzin,103 kW (140 PS),0 g/km (komb.)
Hyundai,8888,45.237 km,Schaltgetriebe,09/2014,Benzin,63 kW (86 PS),"114 g/km (komb.) | 4,9 l/100 km (komb.)"
Renault,15555,40.688 km,Automatik,11/2020,Elektro,51 kW (69 PS),240 km Reichweite
Dacia,17777,0 g/km (komb.),37.415 km,Schaltgetriebe,08/2020,Benzin,96 kW (131 PS)
Ford,22888,"141 g/km (komb.) | 6,2 l/100 km (komb.)",4.530 km,Schaltgetriebe,02/2021,Benzin,92 kW (125 PS)
Renault,16388,114 g/km (komb.) | 5 l/100 km (komb.),26.851 km,Schaltgetriebe,12/2017,Benzin,96 kW (131 PS)
Ford,14888,"133 g/km (komb.) | 5,7 l/100 km (komb.)",84.300 km,Schaltgetriebe,09/2018,Benzin,74 kW (101 PS)
Hyundai,17777,"120 g/km (komb.) | 5,3 l/100 km (komb.)",62.719 km,Schaltgetriebe,08/2018,Benzin,103 kW (140 PS)
Renault,16666,"124 g/km (komb.) | 5,4 l/100 km (komb.)",62.058 km,Automatik,08/2020,Elektro,51 kW (69 PS)
MINI,15555,386 km Reichweite,0 g/km (komb.),71.502 km,Schaltgetriebe,07/2017,Benzin
Renault,19222,75 kW (102 PS),"121 g/km (komb.) | 5,1 l/100 km (komb.)",50 km,Automatik,07/2023,Benzin
Renault,18777,66 kW (90 PS),"100 g/km (komb.) | 6,1 l/100 km (komb.)",50 km,Automatik,04/2023,Benzin
Fiat,14888,66 kW (90 PS),"100 g/km (komb.) | 6,1 l/100 km (komb.)",27.234 km,Schaltgetriebe,09/2016,Benzin
Dacia,17777,81 kW (110 PS),"152 g/km (komb.) | 6,4 l/100 km (komb.)",25.322 km,Schaltgetriebe,08/2019,Benzin
