,brand,model,price,year,transmission,fuelConsumption,tax,mileage,fueltype,color,variant
34386,Honda, HRV,"£28,995",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 6,347",Other,white,1.5 h i-MMD Advance CVT Euro 6 (s/s) 5dr
34387,Honda, HRV,"£24,995",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 9,268",Other,white,V 1.5 h i-MMD Elegance CVT Euro 6 (s/s) 5dr
34388,Honda, HRV,"£27,995",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 14,060",Other,white,1.5 h i-MMD Elegance CVT Euro 6 (s/s) 5dr
34389,Honda, HRV,"£26,995",2022,Automatic,52.3 mpg,Tax: £170,"Mileage: 14,814",Other,white,1.5 h i-MMD Elegance CVT Euro 6 (s/s) 5dr
34390,Honda, Jazz,"£14,495",2017,Automatic,57.6 mpg,Tax: £35,"Mileage: 16,150",Petrol,white,z 1.3 i-VTEC EX Navi CVT Euro 6 (s/s) 5dr
34391,Honda, Civic,"£16,995",2019,Manual,50.4 mpg,Tax: £180,"Mileage: 22,546",Petrol,white,c 1.5 VTEC Turbo GPF Sport Euro 6 (s/s) 5dr
34392,Honda, HRV,"£26,995",2021,Automatic,52.3 mpg,Tax: n/a,"Mileage: 23,553",Other,white,V 1.5 h i-MMD Advance CVT Euro 6 (s/s) 5dr
34475,Honda, Civic,"£12,495",2019,Manual,80.7 mpg,Tax: £180,"Mileage: 64,967",Diesel,white,c DIESEL HATCHBACK
34476,Honda, Civic,"£28,995",2019,Manual,36.7 mpg,Tax: £180,"Mileage: 31,874",Petrol,white,c HATCHBACK
34477,Honda, CRV,"£17,995",2017,Automatic,55.4 mpg,Tax: £180,"Mileage: 25,633",Diesel,white,V 1.6 i-DTEC 160 SE Plus 5dr Auto [Nav]
34478,Honda, HRV,"£10,995",2018,Manual,70.6 mpg,Tax: £180,"Mileage: 70,000",Diesel,white,V DIESEL HATCHBACK
34479,Honda, Civic,"£15,995",2018,Automatic,46.3 mpg,Tax: £180,"Mileage: 36,210",Petrol,white,c Sport Plus
34480,Honda, CRV,"£16,795",2017,Automatic,53.3 mpg,Tax: £180,"Mileage: 63,000",Diesel,white,V EX 1.6 I-DTEC 5d 158 BHP AUTOMATIC
34481,Honda, Civic,"£16,450",2019,Automatic,60.1 mpg,Tax: £165,"Mileage: 26,000",Petrol,white,c SE
34482,Honda, Civic,"£12,950",2018,Manual,58.9 mpg,Tax: £165,"Mileage: 41,000",Petrol,white,SE
34483,Honda, Civic,"£15,950",2019,Other,60.1 mpg,Tax: £180,"Mileage: 41,000",Petrol,white,SE
